variant,input,n,rep,time_ns
qsort,R,10000000,9,1629945352
qsort,R,10000000,10,1629894632
qsort,R,10000000,11,1631201718
qsort,R,10000000,12,1630211452
qsort,R,10000000,13,1631272244
qsort,R,10000000,14,1630852506
alloc,A,10000000,0,373348258
alloc,A,10000000,1,368088022
alloc,A,10000000,2,367928548
alloc,A,10000000,3,368405122
alloc,A,10000000,4,368092552
alloc,A,10000000,5,367839412
alloc,A,10000000,6,367732248
alloc,A,10000000,7,367725908
alloc,A,10000000,8,368395688
alloc,A,10000000,9,367737928
alloc,A,10000000,10,368039530
alloc,A,10000000,11,367870210
alloc,A,10000000,12,368357372
alloc,A,10000000,13,367346346
alloc,A,10000000,14,368012276
shared,A,10000000,0,234939754
shared,A,10000000,1,234990838
shared,A,10000000,2,234622974
shared,A,10000000,3,234617006
shared,A,10000000,4,234708328
shared,A,10000000,5,234888368
shared,A,10000000,6,235564694
shared,A,10000000,7,234389408
shared,A,10000000,8,240174478
shared,A,10000000,9,239980544
shared,A,10000000,10,239073920
shared,A,10000000,11,240203994
shared,A,10000000,12,239620676
shared,A,10000000,13,239618592
shared,A,10000000,14,239572240
stdsort,A,10000000,0,116741028
stdsort,A,10000000,1,116683844
stdsort,A,10000000,2,116571386
stdsort,A,10000000,3,116896716
stdsort,A,10000000,4,116867394
stdsort,A,10000000,5,116620394
stdsort,A,10000000,6,116841836
stdsort,A,10000000,7,117016372
stdsort,A,10000000,8,116901390
stdsort,A,10000000,9,117006816
stdsort,A,10000000,10,117084902
stdsort,A,10000000,11,116759160
stdsort,A,10000000,12,116769572
stdsort,A,10000000,13,116682276
stdsort,A,10000000,14,116982884
qsort,A,10000000,0,357960008
qsort,A,10000000,1,357837336
qsort,A,10000000,2,357644560
qsort,A,10000000,3,358327578
qsort,A,10000000,4,358099812
qsort,A,10000000,5,358026816
qsort,A,10000000,6,357848902
qsort,A,10000000,7,358209244
qsort,A,10000000,8,358133644
qsort,A,10000000,9,357886288
qsort,A,10000000,10,358571144
qsort,A,10000000,11,358071284
qsort,A,10000000,12,357767174
